1	GBR	GBR-042	Lucy Macgregor	Andrew Walsh
2	GBR	GBR-076	Pippa Wilson	John Gimson
3	GBR	GBR-181	Ben Saxton	Hannah Diamond
4	GBR	GBR-182	Tom Phipps	Zennor Pascoe
5	GBR	GBR-120	Rupert White	Nicola Beniface
6	GBR	GBR-152	Alicia Clifford	Thomas Bruton
7	NOR	NOR-196	Nicholas Fadler Martinsen	Martine Steller Mortensen
8	JPN	JPN-249	Hiroki Goto	Wakako Tabata
9	USA	USA-123	Stephanie Hudson	Ian Andrews
10	GBR	GBR-119	Tim Carter	Abby Zambinski	
